#--------------------------------------------------------------------------------
# Auto-generated by LiteX (1d20bbcd) on 2022-05-19 10:49:29
#--------------------------------------------------------------------------------
csr_base,ctrl,0xf0000000,,
csr_base,identifier_mem,0xf0000800,,
csr_base,timer0,0xf0001000,,
csr_base,uart,0xf0001800,,
csr_register,ctrl_reset,0xf0000000,1,rw
csr_register,ctrl_scratch,0xf0000004,1,rw
csr_register,ctrl_bus_errors,0xf0000008,1,ro
csr_register,timer0_load,0xf0001000,1,rw
csr_register,timer0_reload,0xf0001004,1,rw
csr_register,timer0_en,0xf0001008,1,rw
csr_register,timer0_update_value,0xf000100c,1,rw
csr_register,timer0_value,0xf0001010,1,ro
csr_register,timer0_ev_status,0xf0001014,1,ro
csr_register,timer0_ev_pending,0xf0001018,1,rw
csr_register,timer0_ev_enable,0xf000101c,1,rw
csr_register,uart_rxtx,0xf0001800,1,rw
csr_register,uart_txfull,0xf0001804,1,ro
csr_register,uart_rxempty,0xf0001808,1,ro
csr_register,uart_ev_status,0xf000180c,1,ro
csr_register,uart_ev_pending,0xf0001810,1,rw
csr_register,uart_ev_enable,0xf0001814,1,rw
csr_register,uart_txempty,0xf0001818,1,ro
csr_register,uart_rxfull,0xf000181c,1,ro
constant,config_clock_frequency,1000000,,
constant,config_cpu_has_interrupt,None,,
constant,config_cpu_reset_addr,0,,
constant,config_cpu_has_dcache,None,,
constant,config_cpu_has_icache,None,,
constant,config_cpu_type_vexriscv,None,,
constant,config_cpu_variant_standard,None,,
constant,config_cpu_human_name,vexriscv,,
constant,config_cpu_nop,nop,,
constant,config_with_build_time,None,,
constant,config_csr_data_width,32,,
constant,config_csr_alignment,32,,
constant,config_bus_standard,wishbone,,
constant,config_bus_data_width,32,,
constant,config_bus_address_width,32,,
constant,config_bus_bursting,0,,
constant,timer0_interrupt,1,,
constant,uart_interrupt,0,,
memory_region,rom,0x00000000,131072,cached
memory_region,sram,0x10000000,8192,cached
memory_region,csr,0xf0000000,65536,io
